timestamp,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,server_status
1727037182.4534328,21.1,50.2,517707020,23108029172,UP
1727037184.4559622,2.5,50.2,517755667,23108081783,UP
1727037186.4583204,11.7,50.3,518352825,23108454257,UP
1727037188.460495,9.9,50.4,518418270,23108538012,UP
1727037190.4623222,3.5,50.4,518467486,23108578365,UP
1727037192.4644732,8.1,50.6,518541889,23108638219,UP
1727037194.4667292,6.5,50.6,518659229,23108779265,UP
1727037196.469725,7.1,50.6,518789397,23108875942,UP
1727037198.4721067,17.7,50.5,518872124,23108937194,UP
1727037200.474479,7.0,50.5,518940891,23108996039,UP
1727037202.4766881,7.5,50.5,519058930,23109110301,UP
1727037204.4793231,7.6,50.0,519183348,23109215281,UP
1727037206.4815385,6.1,50.1,519293172,23109299535,UP
1727037208.4839067,13.6,50.6,519407023,23109425975,UP
1727037210.4862587,5.5,50.6,519527387,23109507848,UP
1727037212.4883564,4.0,50.6,519645340,23109615035,UP
1727037214.4905674,9.2,50.1,519837595,23109775516,UP
1727037216.4945588,7.5,50.2,519984194,23109898035,UP
1727037218.4984705,8.5,50.2,520132166,23110034523,UP
1727037220.5007296,11.6,50.3,520251298,23110139260,UP
1727037222.5029883,3.0,50.4,520383486,23110246073,UP
1727037224.506283,3.0,50.3,520504857,23110349861,UP
1727037226.5102882,4.0,50.4,520616496,23110452180,UP
1727037228.512477,8.6,50.3,520751851,23110559624,UP
1727037230.5161858,10.1,50.5,520878608,23110669055,UP
1727037232.519612,2.0,50.5,520987536,23110769094,UP
1727037234.5222638,1.5,50.5,521068627,23110824448,UP
1727037236.5268006,8.6,50.6,521122172,23110873357,UP
1727037238.5303533,6.5,50.5,521193898,23110942950,UP
1727037240.5336988,4.5,50.5,521346371,23111092948,UP
1727037242.5364132,4.0,50.5,521463609,23111200073,UP
1727037244.5388255,1.5,50.1,521592294,23111314614,UP
1727037246.5423083,3.0,50.2,521722777,23111420696,UP
1727037248.54442,6.5,50.3,521845286,23111527930,UP
1727037250.546642,3.5,50.3,521973454,23111637216,UP
1727037252.550134,9.0,50.0,522051963,23111702196,UP
1727037254.552393,4.0,50.1,522117961,23111768502,UP
1727037256.5542176,3.5,50.1,522191229,23111832799,UP
1727037258.5575447,14.5,50.1,522268757,23111896064,UP
1727037260.560705,3.5,50.2,522335419,23111963476,UP
1727037262.5629213,1.0,50.2,522398537,23112027680,UP
1727037264.5650399,5.5,50.0,522480561,23112103213,UP
1727037266.5686052,2.0,50.1,522583722,23112188818,UP
1727037268.5722702,15.3,50.2,522698534,23112287490,UP
1727037270.5759401,3.5,50.2,522838109,23112388029,UP
1727037272.578258,2.0,50.3,522947675,23112473423,UP
1727037274.580756,16.0,50.4,523067112,23112566741,UP
1727037276.5838163,5.0,50.4,523194591,23112658544,UP
1727037278.586266,12.0,50.4,523412706,23112890435,UP
1727037280.5889494,5.5,50.4,523563719,23113022552,UP
1727037282.5916245,4.0,50.5,523709098,23113140666,UP
1727037284.5937533,13.3,50.3,523865285,23113270700,UP
1727037286.5960443,4.0,50.3,523985236,23113377133,UP
1727037288.598607,13.1,50.2,524143947,23113505130,UP
1727037290.6036503,97.5,51.1,524393621,23113747175,UP
1727037292.6064167,89.6,52.4,524657300,23113963699,UP
1727037294.6088789,16.3,52.5,524888673,23114143854,UP
1727037296.6117318,17.6,52.1,525041759,23114273424,UP
1727037298.614283,13.2,52.6,525171485,23114386317,UP
1727037300.6173372,5.5,52.6,525359605,23114534748,UP
1727037302.6211636,4.5,52.3,525486789,23114642908,UP
1727037304.623456,11.6,52.5,525662058,23114788053,UP
1727037306.62773,15.8,52.6,525812953,23114907481,UP
